time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2024-03-21,201183.38525860524,201981.28215743767,176427.1117883371,62868.2822321276,0.0,0.0
2024-03-22,223190.00943317002,191979.96977058728,176368.4918883033,50921.590344446944,0.0,0.0
2024-03-23,229048.66202276622,183309.36131601327,176274.95169519313,53827.086402535,0.0,0.0
2024-03-24,230236.32814660063,178606.97658583673,197304.0669586772,36312.68974539302,0.0,0.0
2024-03-25,228873.5355430669,184248.80474138557,198658.48472357792,30679.236428477234,0.0,0.0
2024-03-26,224105.51976174727,193864.5645313665,183722.48343066615,40767.4937127277,0.0,0.0
2024-03-27,221538.68868203438,201228.47140759177,176504.85640379725,43188.04494308415,0.0,0.0
2024-03-28,218383.92621209298,203191.73975236155,179312.73458873614,41571.66088331693,0.0,0.0
2024-03-29,212379.2409671788,194673.2849594963,195546.88345185766,39860.65205797485,0.0,0.0
2024-03-30,210187.36215873473,202781.12895816268,182189.51757896,47302.05274065021,0.0,0.0
2024-03-31,210458.44043221377,202206.13148603932,184676.98999748402,43900.37544060116,1218.1240801692913,0.0
2024-04-01,209969.22718567596,204825.47854820918,188449.1480775691,38882.891894323286,333.3157307300706,0.0
2024-04-02,210821.75878603896,202985.2906098953,188556.85735572208,40096.15468485124,0.0,0.0
2024-04-03,216841.12262347722,198619.76493644775,184034.45706447272,42964.71681210985,0.0,0.0
2024-04-04,228438.20878629904,189743.19166953335,182219.92130513137,42058.739675543795,0.0,0.0
2024-04-05,239764.7116639536,201992.1220692863,156457.57878526754,44245.64891800015,0.0,0.0
2024-04-06,248785.22081100254,192050.04082571605,156696.1515155472,43695.80636090623,0.0,0.0
2024-04-07,246968.8577559461,181006.63498831843,172864.11681398636,41127.984529426525,0.0,0.0
2024-04-08,244643.73283894468,182462.79163690822,175165.83151818922,39449.93642132875,0.0,0.0
2024-04-09,243776.85168811667,184678.5791528682,173747.96996496874,40133.450630553954,0.0,0.0
2024-04-10,237537.45043142283,187296.29899579557,175123.1757530679,42010.66890739113,0.0,0.0
2024-04-11,238007.60127162465,188904.61486109075,169986.61492030267,45561.23038348949,0.0,0.0
2024-04-12,243321.68504212692,184138.40209006952,174906.86439121317,40093.109913097986,0.0,0.0
2024-11-11,641349.0666259567,1110.994810550927,0.0,0.0,0.0,0.0
2024-11-12,639908.3660907056,2551.695345801846,0.0,0.0,0.0,0.0
2024-11-13,638078.9309361544,4381.130500353059,0.0,0.0,0.0,0.0
2024-11-14,633718.652998297,8741.408438210548,0.0,0.0,0.0,0.0
2024-11-15,631209.6257216939,11250.43571481375,0.0,0.0,0.0,0.0
2024-11-16,629635.5815809253,12824.47985558234,0.0,0.0,0.0,0.0
2024-11-17,627360.1586428743,15099.902793633159,0.0,0.0,0.0,0.0
2024-11-18,627360.1586428743,15099.902793633159,0.0,0.0,0.0,0.0
2024-11-19,627632.5340540847,14827.527382422852,0.0,0.0,0.0,0.0
2024-11-20,626335.5003302565,16124.561106251047,0.0,0.0,0.0,0.0
2024-11-21,626768.5464815339,15691.514954973718,0.0,0.0,0.0,0.0
2024-11-22,627796.8845553668,14663.176881140724,0.0,0.0,0.0,0.0
2024-11-23,627367.8871093802,15092.174327127443,0.0,0.0,0.0,0.0
2024-11-24,624187.818038215,16789.557656333058,1482.6857419594644,0.0,0.0,0.0
2024-11-25,615239.5380907985,25257.538933547694,1962.9844121613323,0.0,0.0,0.0
2024-11-26,604691.4887430447,30356.62363487214,7411.949058590721,0.0,0.0,0.0
2024-11-27,592802.2941741043,40776.10761940884,8881.659642994338,0.0,0.0,0.0
2024-11-28,584656.552919687,44787.083629578956,13016.42488724166,0.0,0.0,0.0
2024-11-29,574537.6745268293,53194.9818927118,14727.405016966444,0.0,0.0,0.0
2024-11-30,568399.77718523,58247.04111128214,15813.243139995397,0.0,0.0,0.0
2024-12-01,560499.8491885723,63032.14736549081,18928.064882444472,0.0,0.0,0.0
2024-12-02,555875.2370898811,69751.24064429839,16833.583702328026,0.0,0.0,0.0
2024-12-03,552643.354029632,74453.82206347934,15362.885343396174,0.0,0.0,0.0
2024-12-04,550481.1407072437,59416.2043554834,18274.54593520733,3774.7604782463377,3617.9780091601688,6449.476616314127
2024-12-05,549195.8459357247,63561.85358113708,16439.385657078597,3437.6254192424594,3671.800493427945,5874.252880409382
2024-12-06,546693.2269382847,69079.23375729815,13007.858810213544,3385.347857750784,4068.8529356490035,5946.243667824115
2024-12-07,547821.3475137178,74935.89463464834,8826.313900277466,4021.921413842666,3405.58482176375,2829.683166414923
2024-12-08,549629.7891689443,60666.9121118416,10589.771671867651,4518.824974536787,4699.344428204133,7772.536131391606
2024-12-09,551837.1451229334,60148.380126092256,9555.78013161338,4116.428112699347,5152.7896538122895,6640.450692789018
2024-12-10,558416.7942509751,56901.319973248945,8594.55224508387,4508.693222508485,5325.332922948025,5614.693927464144
2024-12-11,569030.165212072,52270.10123219011,7262.293933568364,4950.433325376109,4206.793910297391,3236.521457008909
2024-12-12,587079.5985918099,48556.01255713426,6824.450287563433,0.0,0.0,0.0
2024-12-13,584986.0949559395,40923.08593084502,13613.650978529362,1648.0087841978643,937.2401903980747,173.9099860396059
2024-12-14,568132.0344593851,48243.20803026912,19608.211974746067,3740.378881697562,1694.882056233113,872.7716225432009
2024-12-15,559142.0594866647,55925.88188420198,17684.81255541148,4372.439865572182,2394.077986265853,2152.899260915388
2024-12-16,552413.4414618127,57897.572480468814,19819.22091691234,4633.114870114687,2728.212450492081,4180.608859230909
2024-12-17,547440.794382549,61035.15928434584,21772.47829516612,4547.463286553694,3116.3968260770057,3410.0314219212614
2024-12-18,544608.9805124609,65623.18451651387,21987.51654876618,3237.169644517066,3073.373865440761,3422.0098357919296
2024-12-19,539373.4581443154,76686.32955277448,15681.053191182955,3246.2804981779077,2894.7325348521845,3712.5462449637307
2024-12-20,535025.0043999535,94720.474298399,7394.635054109941,2360.672239556887,1503.7250939888863,692.6007859309316
2024-12-21,523195.649757843,115013.04802105308,4251.363657611564,0.0,0.0,0.0
2024-12-22,512141.2727469706,123593.00787820676,6725.780811330209,0.0,0.0,0.0
2024-12-23,501113.50604922324,133578.6517717167,7767.903615567647,0.0,0.0,0.0
2024-12-24,485454.20751210017,149455.97478698316,7549.879137424247,0.0,0.0,0.0
2024-12-25,476648.9791815771,157504.66032246116,8183.0257945438825,123.39613792541738,0.0,0.0
2024-12-26,467786.0696723983,148555.49281432922,26056.336101249773,62.16284853024884,0.0,0.0
2024-12-27,464482.0099947436,149945.58654434746,27846.905910960802,185.5589864556662,0.0,0.0
2024-12-28,463949.7587224138,156610.46208832198,21899.8406257718,0.0,0.0,0.0
2024-12-29,461817.3047143654,161469.9994249682,18737.803307727045,434.9539894469874,0.0,0.0
2024-12-30,458677.79825603566,156726.09958887784,24756.700019340344,2237.1151521763136,62.3484200773689,0.0
2024-12-31,457481.2558359432,143711.57677588976,39834.88606538504,1432.3427592895687,0.0,0.0
2025-01-01,455078.83316813817,134259.0120571751,53122.21621119434,0.0,0.0,0.0
2025-01-02,452947.69429842115,139218.15285810916,50294.21427997727,0.0,0.0,0.0
2025-01-03,448217.86075703497,128423.35560768908,65818.84507178355,0.0,0.0,0.0
2025-01-04,437247.95659850317,127938.27888746021,77149.87177529554,0.0,0.0,0.0
2025-01-05,426279.8451146252,134421.59339065017,81261.32052170788,0.0,0.0,0.0
2025-01-06,419622.1591986348,146271.26364344716,76390.8337965378,175.8047978878311,0.0,0.0
2025-01-07,415531.7146440255,165547.91635910858,61203.869347853455,176.56108552003585,0.0,0.0
2025-01-08,414164.43392553576,178097.39077372017,50198.23673725166,0.0,0.0,0.0
2025-01-09,415375.9269084915,180260.7218523292,46823.412675686835,0.0,0.0,0.0
2025-01-10,415184.00769563124,181687.70576972116,45588.34797115518,0.0,0.0,0.0
2025-01-11,418216.8269111233,164456.09020726636,59787.14431811794,0.0,0.0,0.0
2025-01-12,418380.6062037796,154567.63600098266,68800.98261923097,710.8366125143841,0.0,0.0
2025-01-13,418255.9253171116,145757.78575225495,77245.7413051812,1200.6090619598124,0.0,0.0
2025-01-14,417596.42719901376,142460.00126846577,81530.5683830108,873.0645860172242,0.0,0.0
2025-01-15,418362.4537670565,133993.50349859943,90104.10417085164,0.0,0.0,0.0
2025-01-16,419670.13042102143,125914.69649898862,96875.2345164975,0.0,0.0,0.0
2025-01-17,422333.91239387204,110208.1932400947,109917.95580254088,0.0,0.0,0.0
2025-01-18,424201.4984045825,104899.2740988571,113359.28893306802,0.0,0.0,0.0
2025-01-19,429276.5848111125,86146.50924916513,126885.05539098286,151.9119852470921,0.0,0.0
2025-01-20,431752.0484657701,90425.3820971126,119672.63213796976,609.9987356551081,0.0,0.0
2025-01-21,433856.9670694384,87267.18133140572,112876.20730913625,8459.705726527169,0.0,0.0
2025-01-22,434585.90154038864,88029.69283546277,110079.89469073934,9764.572369916841,0.0,0.0
2025-01-23,431960.85777159955,80708.7097974742,114767.40069457848,15023.093172855326,0.0,0.0
2025-01-24,427291.8455952441,73112.91484676805,125303.95235211178,16751.348642383688,0.0,0.0
2025-01-25,413412.4599054924,48415.014451545096,165227.20962221475,15405.377457255281,0.0,0.0
2025-01-26,395454.7669814844,52226.27147972677,182793.39412725443,11985.62884804188,0.0,0.0
2025-01-27,385200.93949534465,62144.97456575964,176564.86555919534,18549.281816207953,0.0,0.0
2025-01-28,384382.0846863249,62570.0769155107,171827.00730473702,23680.892529934998,0.0,0.0
2025-01-29,384382.0846863249,65814.90183386365,166243.19754497393,25705.11577226276,314.7615990823978,0.0
2025-01-30,384382.0846863249,66514.3945230642,167118.8036635585,22765.2744488288,1679.5041147311963,0.0
2025-01-31,384992.62559261423,68569.7014259618,164894.5864290772,23006.209228274587,996.9387605797809,0.0
